#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
3457426	1460	1111	107843	107536	DADB-127H9.2	-	CSNK2B	CHEK1	CK2B|CK2N|CSK2B|G5A	CHK1	Affinity Capture-Western	physical	Guerra B (2003)	PUBMED:12902976	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P67870	N0E4C7	NP_001269314|NP_001311	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3457433	1111	1460	107536	107843	-	DADB-127H9.2	CHEK1	CSNK2B	CHK1	CK2B|CK2N|CSK2B|G5A	Affinity Capture-Western	physical	Guerra B (2003)	PUBMED:12902976	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	P67870	N0E4C7	NP_001269314|NP_001311	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3457470	1111	995	107536	107430	-	-	CHEK1	CDC25C	CHK1	CDC25|PPP1R60	Biochemical Activity	physical	Guerra B (2003)	PUBMED:12902976	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	P30307	-	NP_001274511|NP_073720|NP_001274512|NP_001305027|NP_001781	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3457471	1111	1460	107536	107843	-	DADB-127H9.2	CHEK1	CSNK2B	CHK1	CK2B|CK2N|CSK2B|G5A	Biochemical Activity	physical	Guerra B (2003)	PUBMED:12902976	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	P67870	N0E4C7	NP_001269314|NP_001311	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3461640	63967	1111	122015	107536	-	-	CLSPN	CHEK1	-	CHK1	Reconstituted Complex	physical	Meng Z (2011)	PUBMED:21680713	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9HAW4	-	NP_071394|NP_001177410|NP_001317419	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3470649	1111	63967	107536	122015	-	-	CHEK1	CLSPN	CHK1	-	Reconstituted Complex	physical	Clarke CA (2005)	PUBMED:15707391	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	Q9HAW4	-	NP_071394|NP_001177410|NP_001317419	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3480557	1111	10456	107536	115719	-	RP11-137P24.1	CHEK1	HAX1	CHK1	HCLSBP1|HS1BP1|SCN3	Affinity Capture-MS	physical	Buljan M (2020)	PUBMED:32707033	9606	9606	High Throughput	306.0	-	Affinity Capture-MS was carried out to identify high confidence protein-protein interactors with a FDR<1% (protein abundance ratio compared to control are reported)	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	O00165	-	NP_001018238|NP_006109	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3480558	1111	11140	107536	116312	-	-	CHEK1	CDC37	CHK1	P50CDC37	Affinity Capture-MS	physical	Buljan M (2020)	PUBMED:32707033	9606	9606	High Throughput	1649.0	-	Affinity Capture-MS was carried out to identify high confidence protein-protein interactors with a FDR<1% (protein abundance ratio compared to control are reported)	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	Q16543	A0A024R7B7	NP_008996	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3480559	1111	81570	107536	123531	-	-	CHEK1	CLPB	CHK1	HSP78|SKD3	Affinity Capture-MS	physical	Buljan M (2020)	PUBMED:32707033	9606	9606	High Throughput	3638.0	-	Affinity Capture-MS was carried out to identify high confidence protein-protein interactors with a FDR<1% (protein abundance ratio compared to control are reported)	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	Q9H078	-	NP_001245322|NP_001245323|NP_110440|NP_001245321	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3491732	1111	63967	107536	122015	-	-	CHEK1	CLSPN	CHK1	-	Affinity Capture-Western	physical	Hao J (2015)	PUBMED:26082189	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	Q9HAW4	-	NP_071394|NP_001177410|NP_001317419	-	-	-	-	-	-	Homo sapiens	Homo sapiens
