#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
303651	5578	4968	111564	111018	-	-	PRKCA	OGG1	AAG6|PKC-alpha|PKCA|PRKACA	HMMH|HOGG1|MUTM|OGH1	Biochemical Activity	physical	Dantzer F (2002)	PUBMED:12034821	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	O15527	E5KPM6|E5KPN1|E5KPM9|E5KPM5|E5KPM7|E5KPM8|E5KPN0	NP_002533|NP_058212|NP_058213|NP_058214|NP_058434|NP_058436|NP_058437|NP_058438	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303654	7534	5578	113366	111564	-	-	YWHAZ	PRKCA	14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Gannon-Murakami L (2002)	PUBMED:11950841	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63104	D0PNI1	NP_003397|NP_001129174|NP_001129171|NP_001129172|NP_001129173|NP_663723	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303656	5578	7074	111564	112930	-	-	PRKCA	TIAM1	AAG6|PKC-alpha|PKCA|PRKACA	-	Biochemical Activity	physical	Fleming IN (1999)	PUBMED:10212259	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	Q13009	-	NP_003244	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303663	5578	10399	111564	115671	-	HLC7	PRKCA	GNB2L1	AAG6|PKC-alpha|PKCA|PRKACA	Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1	Affinity Capture-Western	physical	Lee HS (2002)	PUBMED:12435334	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P63244	E9KL35	NP_006089	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303664	3688	5578	109894	111564	RP11-479G22.2	-	ITGB1	PRKCA	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Lee HS (2002)	PUBMED:12435334	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05556	-	NP_002202|NP_596867|NP_391988	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304665	60312	5578	121895	111564	-	-	AFAP1	PRKCA	AFAP|AFAP-110|AFAP110	AAG6|PKC-alpha|PKCA|PRKACA	Reconstituted Complex	physical	Qian Y (2002)	PUBMED:12134071	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N556	Q6ZRV0	NP_001358019|NP_001358020|NP_001128119|NP_940997	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
305386	7430	5578	113271	111564	-	-	EZR	PRKCA	CVIL|CVL|HEL-S-105|VIL2	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Ng T (2001)	PUBMED:11387207	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P15311	-	NP_003370|NP_001104547	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315192	5578	3688	111564	109894	-	RP11-479G22.2	PRKCA	ITGB1	AAG6|PKC-alpha|PKCA|PRKACA	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB	Affinity Capture-Western	physical	Parsons M (2002)	PUBMED:12138200	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P05556	-	NP_002202|NP_596867|NP_391988	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316252	1742	5578	108086	111564	-	-	DLG4	PRKCA	PSD95|SAP-90|SAP90	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Lim IA (2002)	PUBMED:11937501	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P78352	B9EGL1|B7Z647	NP_001308003|NP_001308006|NP_001356495|NP_001308004|NP_001122299|NP_001308005|NP_001356	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
317246	4001	5578	110187	111564	-	-	LMNB1	PRKCA	ADLD|LMN|LMN2|LMNB	AAG6|PKC-alpha|PKCA|PRKACA	Reconstituted Complex	physical	Tabellini G (2002)	PUBMED:12135703	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20700	B4DZT3	NP_001185486|NP_005564	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
317251	5578	4000	111564	110186	-	RP11-54H19.1	PRKCA	LMNA	AAG6|PKC-alpha|PKCA|PRKACA	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	Protein-peptide	physical	Martelli AM (2002)	PUBMED:12112001	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P02545	Q5TCI8	NP_001244303|NP_005563|NP_733821|NP_733822|NP_001269553|NP_001269555|NP_001269554	-	-	-	-	-	-	Homo sapiens	Homo sapiens
318142	963	5578	107401	111564	-	-	CD53	PRKCA	MOX44|TSPAN25	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Zhang XA (2001)	PUBMED:11325968	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P19397	-	NP_000551|NP_001035122	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
318143	928	5578	107366	111564	GIG2	-	CD9	PRKCA	BTCC-1|DRAP-27|MIC3|MRP-1|TSPAN-29|TSPAN29	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Zhang XA (2001)	PUBMED:11325968	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P21926	B4DK09	NP_001317241|NP_001760	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
331384	90933	5578	124780	111564	-	-	TRIM41	PRKCA	RINCK	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Chen D (2007)	PUBMED:17893151	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8WV44	-	NP_291027|NP_963921	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
331385	90933	5578	124780	111564	-	-	TRIM41	PRKCA	RINCK	AAG6|PKC-alpha|PKCA|PRKACA	Reconstituted Complex	physical	Chen D (2007)	PUBMED:17893151	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8WV44	-	NP_291027|NP_963921	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
511887	5578	3159	111564	109402	-	RP11-513I15.2	PRKCA	HMGA1	AAG6|PKC-alpha|PKCA|PRKACA	HMG-R|HMGA1A|HMGIY	Biochemical Activity	physical	Banks GC (2000)	PUBMED:10889043	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P17096	Q5T6U8	NP_001306011|NP_001306009|NP_001306008|NP_001306007|NP_001306006|NP_002122|NP_665910|NP_001306010|NP_665912|NP_665906|NP_665908|NP_665909	-	-	-	-	-	-	Homo sapiens	Homo sapiens
511888	5578	8091	111564	113763	-	-	PRKCA	HMGA2	AAG6|PKC-alpha|PKCA|PRKACA	BABL|HMGI-C|HMGIC|LIPO|STQTL9	Biochemical Activity	physical	Banks GC (2000)	PUBMED:10889043	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P52926	F5H6H0|F5H2A4|Q1M183	NP_001287848|NP_003474|NP_003475|NP_001287847	-	-	-	-	-	-	Homo sapiens	Homo sapiens
